id,nombre_director,job,director_id
29649,Steve Gomer,Director,104507
10990,Lee Tamahori,Director,7256
8866,Michael Lehmann,Director,7145
12233,George Scribner,Director,71792
23449,Tom DeCerchio,Director,1175207
36355,Alan Shapiro,Director,129941
37667,Angela Pope,Director,1016352
90148,Betty Kaplan,Director,1585647
922,Jim Jarmusch,Director,4429
11876,Jean-Paul Rappeneau,Director,25950
52633,Jack Hill ,Director,31310
62364,Manuel Gómez Pereira,Director,108499
11687,Jean-Marie Poiré,Director,64909
9304,Harold Ramis,Director,1524
73183,Brett Thompson,Director,940684
131232,Francesco Sframeli,Director,1093108
131232,Spiro Scimone,Director,1093110
9100,Andrew Fleming,Director,41549
20759,Reginald Hudlin,Director,68215
46063,Bruce Beresford,Director,5696
32513,John Schlesinger,Director,19304
40651,Stephen Quay,Director,124237
40651,Timothy Quay,Director,124238
36915,Phil Joanou,Director,18500
40507,Larry Cohen,Director,19266
9802,Michael Bay,Director,865
25697,Harvey Miller,Director,29706
21588,Michele Soavi,Director,87680
664,Jan de Bont,Director,2209
11867,David Hogan,Director,70792
47119,Maurice Pialat,Director,16988
314352,Gabriel Barylli,Director,564791
9323,Mamoru Oshii,Director,12180
10280,Tom Holland,Director,64796
10535,Rick Friedberg,Director,65548
124613,Udayan Prasad,Director,145304
532,Nick Park,Director,7314
26744,Abraham Polonsky,Director,81976
16299,John Landis,Director,4610
10547,David Twohy,Director,28239
245268,Robert Z. Leonard,Director,93906
935,Stanley Kubrick,Director,240
55613,Guy Maddin,Director,97579
215107,John O'Brien,Director,153908
41007,John Irvin,Director,17784
35645,Kevin James Dobson,Director,114468
110465,Victor Saville,Director,14860
255546,Helena Solberg,Director,1090082
40751,Wong Kar-wai,Director,12453
275096,Ebrahim Forouzesh,Director,1209349
85778,Freida Lee Mock,Director,223825
11101,Joseph Vilsmaier,Director,14614
9826,Simon Wincer,Director,18254
9879,Andrew Bergman,Director,41550
63564,David Keating,Director,229695
22621,James Mangold,Director,366
7095,Francis Ford Coppola,Director,1776
26890,Mary Harron,Director,16378
46732,Charles Matthau,Director,122728
124633,Goran Paskaljević,Director,1009298
202425,Mwezé Ngangura,Director,1184422
202425,Benoît Lamy,Director,24409
196940,Jean-Pierre Bekolo,Director,1177451
77771,Djibril Diop Mambéty,Director,1079380
181083,Gaston Kaboré,Director,1153142
41225,Federico Fellini,Director,4415
41225,Louis Malle,Director,15389
41225,Roger Vadim,Director,53767
188589,Henry Jaglom,Director,117075
188589,Victoria Foyt,Director,990400
87190,Robby Henson,Director,21415
627,Danny Boyle,Director,2034
32872,Scott Winant,Director,1214396
602,Roland Emmerich,Director,6046
14553,Bernardo Bertolucci,Director,4956
9566,Tony Scott,Director,893
10545,Gary Trousdale,Director,62047
10545,Kirk Wise,Director,62048
9894,Ben Stiller,Director,7399
11543,Bobby Farrelly,Director,7395
11543,Peter Farrelly,Director,7396
